"من لها: اذهبي الى بيت ابيك ولا	حاجة	لي بك ، وعندي منها اولاد. زوجي مدمن حبوب مخدرة ،",,,
". ما حكم رواية مثل هذا عن فيديوهات	رقص	خليعة ، بل ومحتواها به ايحاءات جنسية ايضا ، صعقت واعتقدت ان",,,
"فيديوهات رقص خليعة ، بل ومحتواها به ايحاءات	جنسية	ايضا ، صعقت واعتقدت ان زوجي قام بفتحها من جوالي ، فراجعته",,,
"الافادة في موضوعي وجزاكم الله خيرا اعمل طبيبة	تخدير	و زوجي جراح و ياخذني معه في بعض العمليات لكي اخدرها له",,,
"من شدة تمسكهم بكلامهم شككت في نفسي زوجي	واقع	في حيرة لا يعلم من يصدق ؟ فافيدوه وانا اخاف ان يكون",,,
"سنة وعندنا 4 احفاد زوجي طلب مني ان	يجامعني	من الخلف وعندما رفضت اشترى مرهم يعني كريم وقال لي (الآن",,,
"زوجي ، الا انه تنتابني شكوك بانها تشبه	العادة	السرية التي هي حرام ، مع العلم ثقافة دينية ، واصلي واصوم",,,
"احتاج لعملية تضييق ، فانا ممتازة. فهل	العادة	السرية تجعل زوجي لا يحس بشيء معي ؟ ارجو الحل ، فهو",,,
"السبت وفي يوم الخميس رايت افرازات بيضاء وقد	جامعني	زوجي يوم الخميس ولكن عند اغتسالي من الجنابة فوجئت بخروج قطرات من",,,
"يوم ، والدم الذي ينزل قليل ، واحيانا	يجامعني	زوجي وبعد الجماع اجد الدم ، فكيف يكون حكمي في الطهر للصيام",,,
"والمشكلة الاكبر اني متزوجة من سنتين ولم يحدث	جماع	بيني وبين زوجي سوى اول شهر من الزواج وعلى اثره اصبحت حاملا",,,
"موجود على الطبيعة ، انه زوجي ، وانه	يجامعني	. فما حكم ذلك ؟ وايضا عند ذلك ينزل مني سائل.",,,
"، فوعدني بذلك ، لكن في طهر لم	يجامعني	فيه. الى الله ، وبعد فترة قمت بقراءة استخارة سورة الانعام",,,
"الذي وعدني بانشاء عائلة واولاد لا يريد سوى	علاقة	رخيصة خاصة ان سمعة اللبنانيات في تزكي وتتصدق منه ام تعتمد على",,,
"عند ما ارى انه قد مر شهر ولم	يجامعني	اذهب له وسلّم انه لا يشمّها. افيدونا جزاكم الله عنا كل",,,
"؟ تزوجت قبل سنتين واكتشفت ان زوجي شاذ	جنسيا	، ولا يعطيني حقوقي لا من مشرب ومصروف ، ولا فراش ،",,,
"نتيجة احتكاكه بملابسها ؟ يا شيخ: زوجي	يجامعني	من الخلف واذا لم اطاوعه تركني اياما واسابيع دون جماع طبيعي ،",,,
"الخلف واذا لم اطاوعه تركني اياما واسابيع دون	جماع	طبيعي ، ولا يثيره ويغفر لي ربي ، فماذا افعل ؟ ويعلم",,,
"اثناء الحيض. وعند القذف وضع مقدمته في	مهبلي	، وقذف بداخلي ؟ زوجي يتابع الافلام الاباحية اثناء غيابي عنه في",,,
"وصليت الضحى وقرات القرآن وبعد ذلك بفترة حدث	جماع	بيني وبين زوجي واغتسلت وعلى صلاة الظهر دخلت الحمام وكنت قد رايت",,,
"وكنت قد رايت علامة نقطة صغيرة جدا لونها	زهري	ماذا ، الجواب على بريدي الخاص ؟ متزوجة من خمس سنوات وفى",,,
"؟ متزوجة من خمس سنوات وفى لحظة ضعف	جامعني	زوجي من الخلف ومن هذه اللحظة لم التقي وزوجي على الفراش خجلا",,,
"هذة الغلطة الفظيعة ؟ ولكم جزيل الشكر.	جامعني	زوجي مرتين وبعدها افاجا بان الحيض قد بدا مع العلم بانه تم",,,
"اربعون يوما ؛ لاني كرهت زوجي بسبب علة	جنسية	كبيرة عنده ، لم اعد احتملها ؟ ارجو التكرم بمساعدتي في حل",,,
"لقضائها ، ورمضان قد اقترب. زوجي لا	ينام	معي الا اذا ارادني ، فهو ينام بغرفة اخرى ، بحجة انه",,,
"لا ينام معي الا اذا ارادني ، فهو	ينام	بغرفة اخرى ، بحجة انه لا بشدة ، ويجعلونني اشعر بالخجل ،",,,
"، وتحت حمايته ، واستجابوا لي على غير	العادة	، لكنهم خوفوني من الندم ان اسالكم النصح والمشورة. هل انا",,,
"الدم نجس ؟ جزاكم الله خيراً. زوجي	يجامعني	ايام الحيض واعلمه انني لم اطهر بعد فيقول انا اتحمل اثمك ،",,,
"رآني زوجي اصلي وقد كنت حائضا اراد ان	يجامعني	فقلت له انني لست متاكدة من الطهر ، كان مني لانني استعجلت",,,
"اريد ان اعرف: هل سرعة القذف مثل	العادة	السرية في الاضرار ولو اقتضى الامر ان لا تذهب الى المرحاض.",,,
"بانتهاء الدورة سؤالي هو: هل اغتسل ويحصل	جماع	بيني وبين زوجي ولكني اخاف ان الدورة لم تنته بعد. سؤال",,,
"اخرى: احيانا اشعر بان زوجي يريد ان	يجامعني	ربما يكون احساسي خطا او صح فاذا تهربت منه هل ذلك حرام",,,
"فماذا افعل ؟ جزاكم الله خيرًا. زوجي	ينام	في غرفة وحده ، منذ اربع سنوات: فترة زواجنا ، رغم",,,
"دون جدوى ، ولكني حملت من زوجي بدون	جماع	كامل وانجبت ولكني تعرفت على شخص في التليفون وكنت اتحدث معه حتى",,,
"بنت الزانية وغيرها في الشارع ورفع ضدي دعوى	زنا	شعوري مني وهو الآن يذيع هذه التسجيلات على من نعرفهم ومن لا",,,
"لدي ، ولكنه اطاع اباه ورفع ضدي دعوى	زنا	واحضر شهود توجد احاديث صحيحة واحاديث ضعيفة ؟ السؤال الثاني: ما",,,
"قرابة 15 سنة كان يطردني ، ويريد ان	ينام	وحده ، وانام انا مع الطائرة ، لكن طبعا احرامي كان دعاء",,,
"عصبة من النساء ، ولكن غرني الشيطان ومارست	الجنس	الخارجي ؟ وانا خائفة ان اكون قد اصبت بالايدز خلال تلك العلاقة",,,
". طُلقت من زوجي للمرة الثالثة ، ولم	يجامعني	قبل الطلاق الاخير منذ سنتين ، فهل عليّ عدة ؟ لكم.",,,
"وكان زوجي في حالة غضب ، وتحت تاثير	مخدر	، وكلمني في الهاتف ، وقال لي: اي دخل قار والديون",,,
"يريد تطليقي الا بعد ان ؟ ام يعتبر	زنا	؟ وماذا افعل ؟. انا حامل في الشهر السادس وطلقني زوجي",,,
"ايضا والمشكلة انني وزوجة اخي زوجي على غير	العادة	اصدقاء ونتعامل كاخوة حيث انني ليس لدي اخت ولا هي ، المشكلة",,,
"مستشفيات المملكة السعودية كممرض قانوني ، ونحن من	جنسية	اردنية ، و ، واطباء ، وصيادلة ، واستشاريي مختبر وتصوير.",,,
"اخرى وساكن في بيت ثان معها ولذلك لا	ينام	معنا في البيت بيت ثان معها ولذلك لا ينام معنا في البيت",,,
"معنا في البيت بيت ثان معها ولذلك لا	ينام	معنا في البيت وفي المقابل لا تكون زوجة اخي زوجي في البيت",,,
"واضربه فيرد علي لن اسامحك مما يزيد في	اثارة	غضبي بشكل كبير ولا يريد ان يفهمني علما بان زوجي حتى هو",,,
"الملابس وغيرها ؟ زوجي اثناء الصلاة يستند على	يد	واحدة في نزوله للسجود بالرغم من ان يده الاخرى ايضا الطويلة امام",,,
"بزيارة والدتي بعدها",,,
"تتعامل مع الجن فاكدت لي ان زوجي على	علاقة	اكتشف ان زوجي تغير في تصرفاته فاتجهت الى عرافة تتعامل مع الجن",,,
"تتعامل مع الجن فاكدت لي ان زوجي على	علاقة	مع امراة بالحلال ، وذهبت الى اخرى فاكدت لي انه على علاقة",,,
"، وذهبت الى اخرى فاكدت لي انه على	علاقة	مع الله في سجودي بان يريني الرسول صلى الله عليه وسلم في",,,
"قبل ان يهديه الله ، وللاسف صار بينهما	زنا	، والحمدلله زوجي تاب توبة نصوحا ، وهذه الفتاة تزوجت من اخيه",,,
"خيرا كنت قد قرات سابقا انه لايجوز ان	يجامعني	زوجي بعد انتهاء الحيض بدون اغتسال من الحيض ولكن لم اكن متاكدة",,,
"هل هو غسل للفرج ام غسل عام وقد	جامعني	زوجي وكنت غاسلة لفرجي ؟ فهل علي اثم لاني لم اكن متاكدة",,,
"يستوجب على تجديد الوضوء وهل يستطيع زوجي ان	يجامعني	في هذه الاحيان \ \ الرجاء معذرتي على هذا السؤال ولكنني احاول",,,
"وكيف اعرف ايام رمضان من ايام الحلف ؟	جامعني	زوجي في نهار رمضان 3 او 4 مرات ولا اذكر هل كلها",,,
". زوجي مسافر ويطلب مني ان امارس معه	الجنس	عبر الهاتف ، وانا غير راضية عن هذا حكم عقد الايجار المنتهي",,,
"قيل لي ان ما كان بيني وبين زوجي	زنا	وحرام وزواجي السري منه جاء بسبب رفض ابي المطلق لزواجي باي شخص",,,
"زوجي باعطائي ابنه من وقت الولادة ؛ فدفعته	لزوجة	اخي لترضعه. هل يعتبر هذا الطفل تتزوج من غير المسلم اذا",,,
"حياتي مشكلتي بدات عندما اكتشفت عند زوجي اشرطة	اباحية	علماً بانه لا يترك فرضاً وفي رمضان يصلي التراويح والتهجد ، ولكن",,,
"تفصلوا في ولكني عاصية لربي مرات اصلي وصاحبة	زنا	واتكلم بالهاتف مع الشباب ولدي مشاكل كثيره بالبيت زوجي لا يغارعلي واعطاني",,,
"كثيرا اثناء علاقتي مع زوجي ، وهو:	الجنس	الفموي. فهو دائما يطلبه مني ، وانا قرات انه لا يغضب",,,
"زوجة ثانية ويريد ان يستفسر هل بامكانه ان	ينام	القيلولة مع زوجاته الاثنتين ، حدث. اخبروني جزاكم الله كل خير",,,
"في زوجي كثيرًا من ناحية انه كان على	علاقة	بشاب شاذ جنسيًا",,,
"شاذ جنسيًا",,,
"لهم علاقة ، وانه مجرد كلام. فهل	قذف	الاعراض مجرد كلام ؟. قذفني زوجي بعد 13 سنة من زواجنا",,,
"ولا احد علًما انني لم اره ، او	يجامعني	الا مرة واحدة ، وهي يوم زواجنا. زوجي احيانًا ما يردد",,,
"بريدة ، فماذا عليّ ؟ علمًا ان زوجي	يجامعني	رغم اني منعته ، ولا ادري هل اظل محرمة ؟ وهل يجوز",,,
"خلال فترة العدة دون عقد جديد ؟ زوجي	يجامعني	دون ان نخلع ملابسنا ، فما الحكم في ذلك ؟. انا",,,
"بالسيارة المجاورة اصطداما خفيفا ادى خفيفا ادى الى	خدش	بسيط في السيارتين ، ولكنني لم اعتذر لصاحب السيارة ولم اخبر زوجي",,,
"وعند رجوعي قال لي انا رجعتك فقط زواج	متعة	، فهل هذه الصيغة صحيحة وما الطلاق بالثلاث ؟ انا متزوجة وابلغ",,,
"فيّ مسّ ، يقول للراقي اثناء الرقية انه	سحر	اكلته من طرف ام زوجي التي اؤكد على كرهها لي ، حيث",,,
"يقرب من خمس سنوات ولا اطيق معاشرة زوجي	جنسيا	ولا اشعر نحوه باي عاطفة على الرغم من انه طيب ولكن اشعر",,,
"استعادة الثقة به ولكن تفاجات مجددا انه على	علاقة	طباعتها كاملة) بنفس الصفحة وجزاكم الله خيرا على مجهودكم وسعة صدوركم",,,
"زوجي الملتزم كثيرا فقد اكتشفت اخيرا انه على	علاقة	مع فتيات على الشات وانا عندي الدليل من اجل ان يرى كيف",,,
"للخدمة",,,
"وطء كامل - ومنذ ايام حدثت لم يحدث	وطء	كامل - ومنذ ايام حدثت مشكلة بيننا عبر الهاتف",,,
"بيني و بين زوجي وان لم يحدث فيها	وطء	تعتبر دخولاً وعلى ذلك فطلاقه لي بعدها على يد ماذون صحيح وعودته",,,
"تعتبر دخولاً وعلى ذلك فطلاقه لي بعدها على	يد	ماذون صحيح وعودته لي صحيحة بدون عقد ومهر جديدين صحيح وعليه فيمينا",,,
"وابين منه بينونة كبرى لا احل الشرعية بدون	وطء	لا تعتبر دخولاً ولا توجب العدة على المراة ، وعلى هذا فرجوع",,,
"جديدين غير صحيح ووطؤه لي بعد ذلك هو	وطء	فاسد وعندما ان تتزوج زوجها الاول ؟ اما سؤالي الثاني لفضيلتكم فهو",,,
"النهار لم ار دماً وفي الليل استحممت وحصل	جماع	مع زوجي وفي اليوم التالي وعند الظهيرة رايت بضع نقاط من الدم",,,
"فاني غير قادرة على ان يكون لي بهم	علاقة	نهائيا ، ولكن زوجي سيجبرني بعد عدة شهور ، عندما نرجع من",,,
"للواقع خاصة لمن يعرفهم عن قرب ، بينما	علاقة	والدة زوجي وشقيقاته هي علاقة ممتازة مع تلك الاسرة ويقومون بتبادل الزيارات",,,
"قرب ، بينما علاقة والدة زوجي وشقيقاته هي	علاقة	ممتازة مع تلك الاسرة ويقومون بتبادل الزيارات معهم وتلبية دعواتهم ، والمشكلة",,,
"جزاكم الله كل خير سؤالي هو انا اعاني	حكة	ومن المحتمل ، وارجوكم مساعدتي وانا احب اولادي كثيرا واخاف عليهم من",,,
"وبين زوجي مداعبة في نهار رمضان ، بدون	ايلاج	، واني شعرت بالرعشة ، والفتور بعدها ، ما حوله ؟.",,,
"؟ جزاكم الله خير الجزاء. زوجي مارس	الجنس	مع اختي وحملت منه",,,
"حيث المعاملة حيث انه يشفق عليها ويعطف عليها	جنسية	قاتلة ، اغرق في خيال مع رجل لا ادري من هو ،",,,
"طول النهار فظننت ان ما رايته كان بسبب	خدش	انا اوقعته بنفسي وجامعت زوجي تلك الليلة جماعا عاديا ، وبعده قررت",,,
"انني لو كنت متاكدة من اني حائض ما	جامعت	يستعمل العازل الطبي اثناء الجماع اقسم انني لو كنت متاكدة من اني",,,
"انني لو كنت متاكدة من اني حائض ما	جامعت	زوجي ، ولكن كنت اشك في ذلك واظن ان الدورة ستتاخر يوما",,,
"اصابها شيء من المذي قبل غسله او اذا	لامس	زوجي شعري وهو مبتل اثناء الجماع اذا اصابها شيء من المذي ،",,,
"الابتعاد عني ، ويطالبني بمشاركته الفراش ، واقامة	علاقة	جنسية او في التلفاز ، او العمل ، فماذا افعل ؟ انا",,,
"عني ، ويطالبني بمشاركته الفراش ، واقامة علاقة	جنسية	او في التلفاز ، او العمل ، فماذا افعل ؟ انا لا",,,
"اني انا الحل ؟. هل تجوز ممارسة	العادة	السرية اذا كنت غير مستمتعة في علاقتي مع زوجي ؟ هل يجوز",,,
"زوجي صائم صوم سنة ، وداعبني حتى وصول	شهوته	، وطلبت منه ان يجامعني ، ورفض يؤخذ براي الاغلبية منا ؟",,,
"وداعبني حتى وصول شهوته ، وطلبت منه ان	يجامعني	، ورفض يؤخذ براي الاغلبية منا ؟ جزاكم الله خيراً. ما",,,
"رايكم في زوجي الذي يقول لي بعد ان	يجامعني	(يله عيشي عليها شهر) واقول له انا سنتين وبعدها بفترة",,,
"اصبر عليه ، يا شيخ زوجي قليلا ما	يجامعني	، اذكر عندما كنت حاملا في الشهر الخامس قال لي لن اقربك",,,
"حقي الشرعي لدرجة احيانا يجلس عني شهرا ولم	يجامعني	رغم انه يعيش في نفس ، واصلي كل الفروض وكل النوافل حسب",,,
"لانني بصراحة لا اعرفه وسؤالي هو: هل	حبوب	منع الحمل بدون علم زوجي في المستقبل حرام ام لا ؟ لانني",,,
"حماي (والد زوجي) يطاردني ويريد ان	يلمس	جسمي انا ابلغ من العمر 27 عاما انسانة مثقفة جدا عاما انسانة",,,
"، فذهبت لاغتسل ، وعدت اليه حتى لا	ينام	وهو حزين ، ولكن بالرغم جدًا ، وغيورة بشكل شديد ، وهذا",,,
"صلاته ، وواجباته تجاه الله ، اعاني من	برودة	واهلي حالتهم المادية لا تسمح بالصرف علينا والمعيشة معهموحين فعلت ثاروا علي",,,
"ولا تحمل هما ساعطيك الاولاد في عدم فعل	العادة	السرية ، ومن ثم اعود من جديد افيدونا جزاكم الله خيرا.",,,
"الثانية ، عرفت منذ فترة ان زوجي على	علاقة	بواحدة غيري ، ولما واجهته قال لي: انه سينهي علاقته بها",,,
"زوجي اخبرتني امراة من اقارب زوجي انّه ابن	زنا	وان امه حملت به قبل زواجها من عام ؟ انا متزوجة منذ",,,
"زوجي اخبرتني امراة من اقارب زوجي انّه ابن	زنا	وان امه حملت به قبل زواجها من ابيه ، ولست متاكدة من",,,
"ووافقنا ان نتزوج ، ولكن زوجي لا يحمل	جنسية	البلد الذي كنت متواجدة فيه ولا يمكن ان يتزوجني الا بتصريح من",,,
"؟ افيدوني -بارك الله فيكم-. زوجي يحمل	جنسية	فرنسية وبعد تكملة دراسته في الجزائر ذهب للبحث عن عمل في فرنسا",,,
": لي اخ واخت اكتشفنا اخيراً ان بينهما	علاقة	....... وجهوني جزيتم خيراً. زوجي هجرنا من 6 سنوات",,,
"في حق والدي رحمه الله ؟ ارتكب زوجي	علاقة	غير شرعية محرمة مع امي ، وقد امسكتهما بالجرم المشهود ، ولقد",,,
"، ويؤجل ولا اظن ان الحل يتمثل في	العادة	السرية. افيدوني وشكرا. اعتدى علي اخو زوجي ، وانا في",,,
"في العدة ؛ لانه مسحور ، وكان به	مس	. هل يجب علي منا اي ان تكون المصافحة في حالة الضرورة",,,
"العائلية مع زوجي ومن ثم اكتشفت انه على	علاقة	مع غيري من قبل الزواج علماً باني اعاني فراغاً يستجاب ؟ جزاكم",,,
"لي في الامر سحرـ افتوني ان كان بالامر	سحر	فعلا هل انا آثمة ان اردت استرجاع زوجي! انا احبه ولم",,,
"نفس المنزل مع اولادي لكن بدون اقامة اي	علاقة	شرعية (جنسية) وذلك بامكانه الشفاء وان هذا قدر من الله",,,
"اولادي لكن بدون اقامة اي علاقة شرعية (	جنسية	) وذلك بامكانه الشفاء وان هذا قدر من الله ، في حقيقة",,,
"زوجي في نفس المنزل بدون ان اقيم معه	علاقة	شرعية ربما يجب علي ان افسخ العقد الصلاة ؟ ام من الممكن",,,
"اعي منها شيئا من محاولات انتحار بسبب عمل	سحر	واحجبة وعين يمر علي طيلة حياتي ان انزعجت من قراءة القرآن لكن",,,
"مكان فما قولكم ؟ وجزاكم الله خيرا.	زنا	زوجي بمطلقة وتزوجها عرفيا وكتب الورقة عند محام وكان احد الشهود وبدون",,,
"ورمى فهو باطل ، وكفارة الزنا الزواج بمن	زنا	معها. فافتوني فى امري.. زوجي لا يعلم الحلال من",,,
"الوساوس تتلاعب بي و تخول لي انني في	علاقة	محرمة مع من يعتبر زوجي... ارجو ان تريحوني في اقرب وقت",,,
"متزوجه من سنتين.. والحمد لله زوجي	يجامعني	كل يوم الا انه الى الآن لم يقم بايلاج عضوه داخل الفرج",,,
"امي وعائلتها فامي سامحها الله زانية ولدتني من	زنا	، الا انا وزوجي في احد الايام وعملت لنا فضيحة في الشارع",,,
"حماتي في ان خالتي الاثنتين لهما اطفال من	زنا	، احسست في ذلك الوقت بانني حقيرة امام زوجي وعائلته المحافظة الطيبة",,,
"، وكيف اخبر زوجي ان لي اختا من	زنا	وان عائلة امي كلهم زناة ، فانا اخاف عذاب ربي اخاف عذاب",,,
"قرا لي القرآن الكريم تكلمت بانها عملت لي	سحر	تفريق ، وكان موقف زوجي سلبيا وعندها طلبت الطلاق ، هل زوجي",,,
"في حقي ام انا التي بانها عملت لي	سحر	تفريق ، وكان موقف زوجي سلبيا وعندها طلبت الطلاق ، هل زوجي",,,
": احيانا استيقظ من النوم فاجد في فرجي	رطوبة	. ليست لضرورته: تزوجت منذ سنتين تقريبا ، وتخلل زواجي مشاكل",,,
"الكلمة تعد طلاقًا ؟ طلقني زوجي في طهر	جامعني	فيه ، واعطاني ورقة الطلاق وقت الحيض ، مع العلم انه لا",,,
"فيه ؟ وهل الطلاق الذي حدث في طهر	جامعني	فيه زوجي يشترط ان يكون خلال فترة معينة من الطهر حتى يعد",,,
"الفترة صومي صحيح -اثابكم الله- ؟ لم اعرف	العادة	السرية الا بعد الزواج بسبب سرعة قذف زوجي ، وعندي مشكلة انه",,,
"اعرف العادة السرية الا بعد الزواج بسبب سرعة	قذف	زوجي ، وعندي مشكلة انه ياتيني قبل الفجر ب 5 دقائق فيقذف",,,
"اعرف كفارتي وهل على زوجي ذنب ؟ لانه	يجامعني	قبل الصلاة ب 5 دقائق ، وهل يجوز شرب كاس الماء وهل",,,
"يوم رمضان ونحن صائمان كلمني على الهاتف ومارسنا	الجنس	بالهاتف. ما حكم بلد اقامتي الحالي ، ولكنه من نفس جنسيتي",,,
"بيت زوجي. هل اتركه ، وهو يقيم	علاقة	هاتفية مع خالتي ، بعذر اني تاركة للصلاة هذه الحالة. وهل",,,
"هو يصر على ذلك فما حكم امتناعي عن	جماع	زوجي ؟ ما حكم اجراء اتهرب من الجماع مع زوجي و هو",,,
"هو يصر على ذلك فما حكم امتناعي عن	جماع	زوجي ؟ ما حكم اجراء عملية فيها تغيير لخلق الله بسبب ضرر",,,
"بيني وبين زوجي مداعبة في نهار رمضان بدون	ايلاج	",,,
"خصيته لانه يوجد لديه تليف بالخصية ورد ذكر	العادة	السرية في السنة النبوية ، ارجو الايضاح. اخطات خطا دون علم",,,
"لو ، علما بانني الجا لها لكي اهدئ	شهوتي	؟ وشكراً. انا امراة متزوجة ولكن زوجي اصبح يعاني من ضعف",,,
"من ضعف جنسي ولا يريد العلاج فلجات الى	العادة	السرية فما حكم ذلك السرية (نكاح اليد) السلام عليكم ورحمة",,,
"مشكلتي هي مع زوجي... فهو عفواً ،	يجامعني	في الشهر مرة... وانا لم ابال بذلك... ولكن نظرا لوهني",,,
"هو كذلك ما هو الحل معه لتجنب هذه	العادة	السيئة ؟ على الرغم ان زوجي يصلي ويقرا القرآن ويحافظ على التزود",,,
"من مرة اهانتني بسبب جنسيتي فانا لست من	جنسية	زوجي لكني الحمد لله مسلمة وابرها وكلما اريد ان احسن اليها او",,,
"ان غشاء البكارة لا يتمزق الا بادخال شيء	صلب	، فبعد عقد القران اعلم ان غشاء البكارة لا يتمزق الا بادخال",,,
"ان غشاء البكارة لا يتمزق الا بادخال شيء	صلب	، فبعد عقد القران مع زوجي بدا يطلب مني ان اجامعه ،",,,
"الكوافير ، حيث اتزين من اجل زوجي على	يد	نساء مسلمات ؟ علما اني انوي ارتداءه في هذا الوقت فقط ،",,,
"بكلمات جميلة ، وطيبة ، او حتى كلمات	جنسية	كي اهدئ زوجي ، الا انه كان يصد كلماتي الحانية بكلمات مثل",,,
"في ارتكابه الفاحشة مما دفعني الى التجسس عليه	قذف	محصنات ام لا وما حكمه ؟ حماتي لا تحبني ولا تحب اهلي",,,
"انا شاب عاقد على فتاة والحمد احدهم علي	يد	بعض الرجال منهم رجل انا مرتبطة به للزواج واضطررت الى القول بانه",,,
"التفاهم لكن دون جدوى وعندما لقد تزوجت من	جنسية	مختلفة 7 سنوات ونحن والحمد الله متفقان جدا الا ان اهل زوجي",,,
"وجدت الاهمال من زوجي ونادراً ما يحادثني او	ينام	معي ولي ثلاثة اشهر في بيت اهلي لم ينفق عليّ فوائد ام",,,
"ما حكم عدم محبة بعض الشيوخ ؟ زوجي	زنا	مرارا ، وقد اعلمني بذلك ، ومع من. ونحن في بلد",,,
"ومتزوجة ولي اولاد",,,
"ـ استعمل جسدي لانتشار الاسلام ، فهل هذا	زنا	او رسالة مقدسة - كما قال لي زوجي - ؟ انا امراة",,,
"محجبتان. واذا كان لا يجوز فهل اذا	نام	زوجي خارج المنزل يكون لا باس في الامر اقامتها عندي لايام قصيرة",,,
"نقاشات مع زوجي لا نهاية لها ومؤخرا هو	ينام	في غرقة وانا في غرقة اخرى مع العلم ان بالترفع عنها ،",,,
"اليوم ثقيلا كما اني ثقيلا كما اني احب	الجنس	كثيرا حتى اني امارس العادة السرية وابكي بعدها واحقد على زوجي انه",,,
"كما اني احب الجنس كثيرا حتى اني امارس	العادة	السرية وابكي بعدها واحقد على زوجي انه وضعني في هذا الوضع ،",,,
"المشكلة ان زوجي لا يريد ان تكون لي	علاقة	مع اي امراة مع العلم يا شيخ اني والحمد لدرجة العشق ولكن",,,
"الطلقة الثالتة في عدة الطلقة الثانية دون ان	يجامعني	، فهل تعد طلقة ثالثة واحرم عليك بالطلاق ان كذبت عليه ،",,,
"الصعب السيطرة الكاملة على وكان من ضمنها حدوث	سحر	تفرقة لنا",,,
"طاقته الجنسية تفوق زوجة واحدة لدرجة انه يمارس	العادة	السرية بالرغم من قيامي لغيرتي الشديده عليه لكن اشترطت ان استقل بمنزل",,,
"بمالي ، لدي مشكلة ثانية حيث ان زوجي	يجامع	زوجته الاولى مرتين او ثلاثاً ويتذكرني بمرة كل اسبوعين حيث اطلب منه",,,
"، افتوني جزاكم الله خيرا اقدمنا عليه من	جماع	في نهار رمضان ، وسوف افصل الموضوع لكي تتضح الرؤية. زوجي",,,
"انا متزوجة حديثًا ، وحدث بيني وبين زوجي	جماع	في نهار رمضان ، وكنت اعتقد ان الجماع الذي يفسد الصيام اذا",,,
"في شهر رمضان المبارك وانا امراة تعشق ممارسة	الجنس	بجنون ممارسة الجنس بجنون (بالرغم اني لا اصل الى الانزال الا",,,
"المبارك وانا امراة تعشق ممارسة الجنس بجنون ممارسة	الجنس	بجنون (بالرغم اني لا اصل الى الانزال الا بالاستنماء بيدي او",,,
"لا اصل الى الانزال الا بالاستنماء بيدي او	يد	زوجي) وخصوصاً لعق الفرج ولكن زوجي قليلاً ما يقوم بلعق فرجي",,,
"كل شخص منهم لديه واحد ياخذ نصيبه وهو	حر	يصرف نفسه فهل لهم حق في الشقة ام تكتب باسم زوجي ؟",,,
"اي رجل قبل زوجي ، ولم اكن اعمل	العادة	السرية ابدا ، وبعدها اعدنا عملية الدخول مرة اخرى ، سعودية متزوجة",,,
"عليّ الآن ؟ داعبني زوجي مداعبة خفيفة بدون	جماع	وانا حائض في نهار رمضان ، فشعرت انني امنيت ، ولكني ورائحتهن",,,
"ستة ايام من الدورة نزل علي دم بعد	جماع	بيني وبين زوجي وكان هذا الدم على هيئة نقط بسيطة جدا واستمر",,,
"المكالمات اشعر برطوبة في الفرج وخروج افرازات شفافة	لزجة	. كنت اغسل المنطقة حاملا وذلك عن طريق الاخصاب الخارجي بعد اخراج",,,
"الصلاة بعد حائض ان تذكر الله دون ان	تلمس	الكتاب ؟ هل اذا رايت في المنام ان زوجي يداعبني ، ولكنني",,,
"وانا تعبانه من زوجي كذلك لانه اغلب الاحيان	بارد	وانا احب الخروج من البيت معه وخصوصاً الحدائق او على 60 سنة",,,
"علي اثم في انني قمت باثارته وتمت عملية	ايلاج	.. ؟. وجزاكم الله كل خير. السلام عليكم انا",,,
"قام بفضحي امام اهله ، وقال عني اني	باردة	جنسيا ، رغم زيارتي للطبيبة النسائية جنسيا ، رغم زيارتي للطبيبة النسائية",,,
"بفضحي امام اهله ، وقال عني اني باردة	جنسيا	، رغم زيارتي للطبيبة النسائية جنسيا ، رغم زيارتي للطبيبة النسائية ،",,,
"اني باردة جنسيا ، رغم زيارتي للطبيبة النسائية	جنسيا	، رغم زيارتي للطبيبة النسائية ، وقد اكدت عدم وجود شيء ،",,,
"قيد الحياة ، وسؤالي ان زوجي يريد ان	ينام	يوما او ابو زوجي ، اما والدة زوجي فهي ما زالت علي",,,
"قيد الحياة ، وسؤالي ان زوجي يريد ان	ينام	يوما او اكثر ، هل الشرع والدين يقول له ان يتركني بمفردي",,,
". فهل هذا صحيح ؟ زوجي -وللاسف- على	علاقة	عاطفية ببنت تصغره بثلاثين سنة ، وهو على علاقة بها منذ اكثر",,,
"عاطفية ببنت تصغره بثلاثين سنة ، وهو على	علاقة	بها منذ اكثر ؟ وما حكم عدم اجابتي عن رسائله ، او",,,
"افيدوني. زوجي يجبرني على مشاهدة افلام ليست	اباحية	ولكن بها ملابس غير شرعي ، وبعض المشاهد الاباحية ، او والدهم",,,
"زوجي ؛ لاني لا اريد ان اقيم معه	علاقة	شرعية ، لاسباب بدرت منه في بداية حلها: انا متزوجة منذ",,,
"يعني لي مشكلا في البداية. زوجي رجل	خشن	لا يعاملني معاملة حسنة رغم كل المحاولات التي قمت بها لفهم المشكل",,,
"ويرضي بيته ويبتعد عن المنكر من غير اي	سحر	ذهبت عند مشعوذ آخر سيبطل عمل هذه الساحرة وهي تصدق والله اريد",,,
